Notatka: zastąpiłem hasła w BD ich hashami (MD5).
Tutaj stara lista haseł, przed zahashowaniem



A tutaj hasła i ich hashe
fvVbgTDC492, a5578f19a88cf24804565e18aee31c6c
NvcdTBDF729, 6d8a2d3ff406bdcf7b0d6d294b8ae886
coeWasgIuP072, 9f2a3f3976b7c63f36a50a55866cf4c6
SXfQ173, 69653d46dc2815eec32c916f2b8cceb3
sdYb203, 0a871370f7e41a5aaab529b70ec1f274
oplzSD747, 29cf5237600ce404d86bb7ffaf7e8a6a
YxMnFhSUv630, a7b76fd3ada7b0e6d02c049eddb97ea8
EgNpYAvDao101, ce785eebfaad24ecabdb839f9d7a73f7
lRHyXID467, 394e1d5bcfc17c4299620a4a68b612bc
ryCnN277, 44deed40d07f73c20996ff673d393fea

roleName, roleId, userId, firstName, lastName, userName, password, employeeId
Maintainer,3,2,Michał,Jankowski,Rodolfo,6d8a2d3ff406bdcf7b0d6d294b8ae886,3
Cashier,1,4,Kamil,Sitarski,Zonia,69653d46dc2815eec32c916f2b8cceb3,2
Gate,2,4,Kamil,Sitarski,Zonia,69653d46dc2815eec32c916f2b8cceb3,2
Maintainer,3,4,Kamil,Sitarski,Zonia,69653d46dc2815eec32c916f2b8cceb3,2
Analyst,4,4,Kamil,Sitarski,Zonia,69653d46dc2815eec32c916f2b8cceb3,2
PriceManager,5,4,Kamil,Sitarski,Zonia,69653d46dc2815eec32c916f2b8cceb3,2
Owner,6,4,Kamil,Sitarski,Zonia,69653d46dc2815eec32c916f2b8cceb3,2
SuperUser,7,4,Kamil,Sitarski,Zonia,69653d46dc2815eec32c916f2b8cceb3,2
PriceManager,5,5,Kassey,Kobierski,Sherman,29cf5237600ce404d86bb7ffaf7e8a6a,1
PriceManager,5,8,Tamara,Gibben,Mellie,ce785eebfaad24ecabdb839f9d7a73f7,4
PriceManager,5,9,Mead,Sowle,Newton,394e1d5bcfc17c4299620a4a68b612bc,5
